group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distance,local,2048,,,1156500.0,ns,18311
distance,local,2048,,,1948600.0,ns,36622
distance,local,2048,,,3345300.0,ns,54933
distance,local,2048,,,4326700.0,ns,73244
distance,local,2048,,,5652400.0,ns,91555
distance,local,2048,,,6009200.0,ns,109866
distance,local,2048,,,6971800.0,ns,128177
distance,local,2048,,,7878300.0,ns,146488
distance,local,2048,,,8848900.0,ns,164799
distance,local,2048,,,9640900.0,ns,183110
distance,local,2048,,,10591000.0,ns,201421
distance,local,2048,,,11639900.0,ns,219732
distance,local,2048,,,13191100.0,ns,238043
distance,local,2048,,,13855600.0,ns,256354
distance,local,2048,,,14851900.0,ns,274665
distance,local,2048,,,15829300.0,ns,292976
distance,local,2048,,,16816300.0,ns,311287
distance,local,2048,,,17828200.0,ns,329598
distance,local,2048,,,18789500.0,ns,347909
distance,local,2048,,,19864300.0,ns,366220
distance,local,2048,,,20742700.0,ns,384531
distance,local,2048,,,21736500.0,ns,402842
distance,local,2048,,,22717900.0,ns,421153
distance,local,2048,,,23492200.0,ns,439464
distance,local,2048,,,24161500.0,ns,457775
distance,local,2048,,,25093300.0,ns,476086
distance,local,2048,,,26042200.0,ns,494397
distance,local,2048,,,27565400.0,ns,512708
distance,local,2048,,,28207600.0,ns,531019
distance,local,2048,,,28932900.0,ns,549330
distance,local,2048,,,29986600.0,ns,567641
distance,local,2048,,,33906400.0,ns,585952
distance,local,2048,,,35373600.0,ns,604263
distance,local,2048,,,35887900.0,ns,622574
distance,local,2048,,,34996700.0,ns,640885
distance,local,2048,,,35979500.0,ns,659196
distance,local,2048,,,36740600.0,ns,677507
distance,local,2048,,,37963600.0,ns,695818
distance,local,2048,,,38623900.0,ns,714129
distance,local,2048,,,39572900.0,ns,732440
distance,local,2048,,,40633600.0,ns,750751
distance,local,2048,,,42028100.0,ns,769062
distance,local,2048,,,42758900.0,ns,787373
distance,local,2048,,,43545600.0,ns,805684
distance,local,2048,,,44518200.0,ns,823995
distance,local,2048,,,45546100.0,ns,842306
distance,local,2048,,,46520200.0,ns,860617
distance,local,2048,,,47737700.0,ns,878928
distance,local,2048,,,48612100.0,ns,897239
distance,local,2048,,,49500600.0,ns,915550
distance,local,2048,,,50894000.0,ns,933861
distance,local,2048,,,51517700.0,ns,952172
distance,local,2048,,,52526200.0,ns,970483
distance,local,2048,,,53454200.0,ns,988794
distance,local,2048,,,54649000.0,ns,1007105
distance,local,2048,,,55435300.0,ns,1025416
distance,local,2048,,,56443500.0,ns,1043727
distance,local,2048,,,61505600.0,ns,1062038
distance,local,2048,,,58412300.0,ns,1080349
distance,local,2048,,,59453100.0,ns,1098660
distance,local,2048,,,60424600.0,ns,1116971
distance,local,2048,,,61375400.0,ns,1135282
distance,local,2048,,,62102700.0,ns,1153593
distance,local,2048,,,61846000.0,ns,1171904
distance,local,2048,,,62783000.0,ns,1190215
distance,local,2048,,,63805600.0,ns,1208526
distance,local,2048,,,64889400.0,ns,1226837
distance,local,2048,,,65611900.0,ns,1245148
distance,local,2048,,,66699700.0,ns,1263459
distance,local,2048,,,67931700.0,ns,1281770
distance,local,2048,,,68958500.0,ns,1300081
distance,local,2048,,,69920100.0,ns,1318392
distance,local,2048,,,70477300.0,ns,1336703
distance,local,2048,,,71686500.0,ns,1355014
distance,local,2048,,,72479400.0,ns,1373325
distance,local,2048,,,73436900.0,ns,1391636
distance,local,2048,,,75171200.0,ns,1409947
distance,local,2048,,,75814700.0,ns,1428258
distance,local,2048,,,76587200.0,ns,1446569
distance,local,2048,,,77570100.0,ns,1464880
distance,local,2048,,,78583200.0,ns,1483191
distance,local,2048,,,79158900.0,ns,1501502
distance,local,2048,,,80338800.0,ns,1519813
distance,local,2048,,,81120700.0,ns,1538124
distance,local,2048,,,82573500.0,ns,1556435
distance,local,2048,,,83283300.0,ns,1574746
distance,local,2048,,,84057900.0,ns,1593057
distance,local,2048,,,84977500.0,ns,1611368
distance,local,2048,,,86039600.0,ns,1629679
distance,local,2048,,,87076100.0,ns,1647990
distance,local,2048,,,89395300.0,ns,1666301
distance,local,2048,,,89107100.0,ns,1684612
distance,local,2048,,,89751200.0,ns,1702923
distance,local,2048,,,90877100.0,ns,1721234
distance,local,2048,,,93103600.0,ns,1739545
distance,local,2048,,,92701600.0,ns,1757856
distance,local,2048,,,94306600.0,ns,1776167
distance,local,2048,,,95328700.0,ns,1794478
distance,local,2048,,,99194900.0,ns,1812789
distance,local,2048,,,102433200.0,ns,1831100
