group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distance,local,262144,,,1022807.0,ns,153
distance,local,262144,,,2136999.0,ns,306
distance,local,262144,,,3219527.0,ns,459
distance,local,262144,,,4128962.0,ns,612
distance,local,262144,,,5295859.0,ns,765
distance,local,262144,,,6447128.0,ns,918
distance,local,262144,,,7357994.0,ns,1071
distance,local,262144,,,7880770.0,ns,1224
distance,local,262144,,,9069354.0,ns,1377
distance,local,262144,,,9495087.0,ns,1530
distance,local,262144,,,10143821.0,ns,1683
distance,local,262144,,,10897136.0,ns,1836
distance,local,262144,,,11653860.0,ns,1989
distance,local,262144,,,13345336.0,ns,2142
distance,local,262144,,,13888076.0,ns,2295
distance,local,262144,,,15019641.0,ns,2448
distance,local,262144,,,15377956.0,ns,2601
distance,local,262144,,,16236204.0,ns,2754
distance,local,262144,,,17148603.0,ns,2907
distance,local,262144,,,17912912.0,ns,3060
distance,local,262144,,,20237003.0,ns,3213
distance,local,262144,,,20406350.0,ns,3366
distance,local,262144,,,21224119.0,ns,3519
distance,local,262144,,,21531601.0,ns,3672
distance,local,262144,,,25207697.0,ns,3825
distance,local,262144,,,27754299.0,ns,3978
distance,local,262144,,,26411727.0,ns,4131
distance,local,262144,,,24984065.0,ns,4284
distance,local,262144,,,26275342.0,ns,4437
distance,local,262144,,,27144382.0,ns,4590
distance,local,262144,,,28022531.0,ns,4743
distance,local,262144,,,29197811.0,ns,4896
distance,local,262144,,,29868991.0,ns,5049
distance,local,262144,,,31188422.0,ns,5202
distance,local,262144,,,31474927.0,ns,5355
distance,local,262144,,,35152803.0,ns,5508
distance,local,262144,,,34090999.0,ns,5661
distance,local,262144,,,34408811.0,ns,5814
distance,local,262144,,,35608216.0,ns,5967
distance,local,262144,,,36424064.0,ns,6120
distance,local,262144,,,38913145.0,ns,6273
distance,local,262144,,,44754701.0,ns,6426
distance,local,262144,,,39783134.0,ns,6579
distance,local,262144,,,42245240.0,ns,6732
distance,local,262144,,,40383599.0,ns,6885
distance,local,262144,,,41727386.0,ns,7038
distance,local,262144,,,42426822.0,ns,7191
distance,local,262144,,,43358266.0,ns,7344
distance,local,262144,,,44897829.0,ns,7497
distance,local,262144,,,44720461.0,ns,7650
distance,local,262144,,,46162158.0,ns,7803
distance,local,262144,,,49060683.0,ns,7956
distance,local,262144,,,51411583.0,ns,8109
distance,local,262144,,,49413030.0,ns,8262
distance,local,262144,,,49605893.0,ns,8415
distance,local,262144,,,51656188.0,ns,8568
distance,local,262144,,,54080308.0,ns,8721
distance,local,262144,,,52299031.0,ns,8874
distance,local,262144,,,53631470.0,ns,9027
distance,local,262144,,,54986147.0,ns,9180
distance,local,262144,,,55076723.0,ns,9333
distance,local,262144,,,56803336.0,ns,9486
distance,local,262144,,,58915155.0,ns,9639
distance,local,262144,,,59062626.0,ns,9792
distance,local,262144,,,60096750.0,ns,9945
distance,local,262144,,,59770225.0,ns,10098
distance,local,262144,,,63792623.0,ns,10251
distance,local,262144,,,63739527.0,ns,10404
distance,local,262144,,,61952390.0,ns,10557
distance,local,262144,,,63172152.0,ns,10710
distance,local,262144,,,69952762.0,ns,10863
distance,local,262144,,,64666000.0,ns,11016
distance,local,262144,,,65757045.0,ns,11169
distance,local,262144,,,66638329.0,ns,11322
distance,local,262144,,,67601369.0,ns,11475
distance,local,262144,,,70557149.0,ns,11628
distance,local,262144,,,70872477.0,ns,11781
distance,local,262144,,,78741216.0,ns,11934
distance,local,262144,,,72027219.0,ns,12087
distance,local,262144,,,78288806.0,ns,12240
distance,local,262144,,,73851695.0,ns,12393
distance,local,262144,,,81019231.0,ns,12546
distance,local,262144,,,74962748.0,ns,12699
distance,local,262144,,,92677970.0,ns,12852
distance,local,262144,,,77436446.0,ns,13005
distance,local,262144,,,81310227.0,ns,13158
distance,local,262144,,,81575402.0,ns,13311
distance,local,262144,,,82517897.0,ns,13464
distance,local,262144,,,80251404.0,ns,13617
distance,local,262144,,,82884222.0,ns,13770
distance,local,262144,,,88773926.0,ns,13923
distance,local,262144,,,83811989.0,ns,14076
distance,local,262144,,,84029909.0,ns,14229
distance,local,262144,,,85846317.0,ns,14382
distance,local,262144,,,85325862.0,ns,14535
distance,local,262144,,,90329474.0,ns,14688
distance,local,262144,,,87385746.0,ns,14841
distance,local,262144,,,94537436.0,ns,14994
distance,local,262144,,,100203108.0,ns,15147
distance,local,262144,,,113136978.0,ns,15300
