group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distance,reference,262144,,,1254191.0,ns,27
distance,reference,262144,,,2319411.0,ns,54
distance,reference,262144,,,3481852.0,ns,81
distance,reference,262144,,,4248844.0,ns,108
distance,reference,262144,,,5107494.0,ns,135
distance,reference,262144,,,6309977.0,ns,162
distance,reference,262144,,,8006477.0,ns,189
distance,reference,262144,,,9180733.0,ns,216
distance,reference,262144,,,9667449.0,ns,243
distance,reference,262144,,,12191231.0,ns,270
distance,reference,262144,,,12286221.0,ns,297
distance,reference,262144,,,12204456.0,ns,324
distance,reference,262144,,,13182399.0,ns,351
distance,reference,262144,,,14429284.0,ns,378
distance,reference,262144,,,15094242.0,ns,405
distance,reference,262144,,,15761199.0,ns,432
distance,reference,262144,,,18755780.0,ns,459
distance,reference,262144,,,18047363.0,ns,486
distance,reference,262144,,,19015238.0,ns,513
distance,reference,262144,,,19463187.0,ns,540
distance,reference,262144,,,21916305.0,ns,567
distance,reference,262144,,,21210019.0,ns,594
distance,reference,262144,,,22210763.0,ns,621
distance,reference,262144,,,23763498.0,ns,648
distance,reference,262144,,,24273959.0,ns,675
distance,reference,262144,,,25724589.0,ns,702
distance,reference,262144,,,26073042.0,ns,729
distance,reference,262144,,,27849634.0,ns,756
distance,reference,262144,,,28302434.0,ns,783
distance,reference,262144,,,31672749.0,ns,810
distance,reference,262144,,,30380939.0,ns,837
distance,reference,262144,,,31366329.0,ns,864
distance,reference,262144,,,32109779.0,ns,891
distance,reference,262144,,,33621515.0,ns,918
distance,reference,262144,,,34288174.0,ns,945
distance,reference,262144,,,35723917.0,ns,972
distance,reference,262144,,,36253814.0,ns,999
distance,reference,262144,,,37131930.0,ns,1026
distance,reference,262144,,,39841454.0,ns,1053
distance,reference,262144,,,39470822.0,ns,1080
distance,reference,262144,,,39927987.0,ns,1107
distance,reference,262144,,,41070551.0,ns,1134
distance,reference,262144,,,43198195.0,ns,1161
distance,reference,262144,,,45509511.0,ns,1188
distance,reference,262144,,,43684533.0,ns,1215
distance,reference,262144,,,44688901.0,ns,1242
distance,reference,262144,,,49538957.0,ns,1269
distance,reference,262144,,,47021717.0,ns,1296
distance,reference,262144,,,48546179.0,ns,1323
distance,reference,262144,,,48629420.0,ns,1350
distance,reference,262144,,,49821859.0,ns,1377
distance,reference,262144,,,53091744.0,ns,1404
distance,reference,262144,,,52492375.0,ns,1431
distance,reference,262144,,,55674319.0,ns,1458
distance,reference,262144,,,54927810.0,ns,1485
distance,reference,262144,,,55611669.0,ns,1512
distance,reference,262144,,,56785286.0,ns,1539
distance,reference,262144,,,57412919.0,ns,1566
distance,reference,262144,,,58849805.0,ns,1593
distance,reference,262144,,,60025565.0,ns,1620
distance,reference,262144,,,63409091.0,ns,1647
distance,reference,262144,,,68932096.0,ns,1674
distance,reference,262144,,,67964244.0,ns,1701
distance,reference,262144,,,67806616.0,ns,1728
distance,reference,262144,,,64826922.0,ns,1755
distance,reference,262144,,,65521579.0,ns,1782
distance,reference,262144,,,65412890.0,ns,1809
distance,reference,262144,,,70925904.0,ns,1836
distance,reference,262144,,,69053402.0,ns,1863
distance,reference,262144,,,72674126.0,ns,1890
distance,reference,262144,,,73936962.0,ns,1917
distance,reference,262144,,,75494412.0,ns,1944
distance,reference,262144,,,74839456.0,ns,1971
distance,reference,262144,,,77073873.0,ns,1998
distance,reference,262144,,,73050561.0,ns,2025
distance,reference,262144,,,76107113.0,ns,2052
distance,reference,262144,,,75919541.0,ns,2079
distance,reference,262144,,,76306444.0,ns,2106
distance,reference,262144,,,79473211.0,ns,2133
distance,reference,262144,,,78385890.0,ns,2160
distance,reference,262144,,,79115274.0,ns,2187
distance,reference,262144,,,83725175.0,ns,2214
distance,reference,262144,,,91182880.0,ns,2241
distance,reference,262144,,,92259144.0,ns,2268
distance,reference,262144,,,93991718.0,ns,2295
distance,reference,262144,,,94678744.0,ns,2322
distance,reference,262144,,,91548778.0,ns,2349
distance,reference,262144,,,94981819.0,ns,2376
distance,reference,262144,,,93348285.0,ns,2403
distance,reference,262144,,,99015601.0,ns,2430
distance,reference,262144,,,98535616.0,ns,2457
distance,reference,262144,,,100168228.0,ns,2484
distance,reference,262144,,,103255424.0,ns,2511
distance,reference,262144,,,97793668.0,ns,2538
distance,reference,262144,,,101009841.0,ns,2565
distance,reference,262144,,,100954117.0,ns,2592
distance,reference,262144,,,101975229.0,ns,2619
distance,reference,262144,,,116076006.0,ns,2646
distance,reference,262144,,,111163488.0,ns,2673
distance,reference,262144,,,108949504.0,ns,2700
