group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distance,reference,4096,,,1204407.0,ns,1495
distance,reference,4096,,,2070542.0,ns,2990
distance,reference,4096,,,2934761.0,ns,4485
distance,reference,4096,,,6995021.0,ns,5980
distance,reference,4096,,,5078862.0,ns,7475
distance,reference,4096,,,5898229.0,ns,8970
distance,reference,4096,,,6730098.0,ns,10465
distance,reference,4096,,,7375726.0,ns,11960
distance,reference,4096,,,8528811.0,ns,13455
distance,reference,4096,,,9414938.0,ns,14950
distance,reference,4096,,,10158063.0,ns,16445
distance,reference,4096,,,11060622.0,ns,17940
distance,reference,4096,,,12078978.0,ns,19435
distance,reference,4096,,,12666566.0,ns,20930
distance,reference,4096,,,14051942.0,ns,22425
distance,reference,4096,,,14936916.0,ns,23920
distance,reference,4096,,,15715822.0,ns,25415
distance,reference,4096,,,16539861.0,ns,26910
distance,reference,4096,,,17633085.0,ns,28405
distance,reference,4096,,,19632731.0,ns,29900
distance,reference,4096,,,19623345.0,ns,31395
distance,reference,4096,,,20331326.0,ns,32890
distance,reference,4096,,,21857125.0,ns,34385
distance,reference,4096,,,22287333.0,ns,35880
distance,reference,4096,,,23844529.0,ns,37375
distance,reference,4096,,,24439980.0,ns,38870
distance,reference,4096,,,26224804.0,ns,40365
distance,reference,4096,,,25846575.0,ns,41860
distance,reference,4096,,,26842743.0,ns,43355
distance,reference,4096,,,28241782.0,ns,44850
distance,reference,4096,,,28966933.0,ns,46345
distance,reference,4096,,,29420281.0,ns,47840
distance,reference,4096,,,30899750.0,ns,49335
distance,reference,4096,,,31783516.0,ns,50830
distance,reference,4096,,,32360642.0,ns,52325
distance,reference,4096,,,32942309.0,ns,53820
distance,reference,4096,,,35552219.0,ns,55315
distance,reference,4096,,,36025289.0,ns,56810
distance,reference,4096,,,36308090.0,ns,58305
distance,reference,4096,,,37559836.0,ns,59800
distance,reference,4096,,,37819858.0,ns,61295
distance,reference,4096,,,38947812.0,ns,62790
distance,reference,4096,,,40042527.0,ns,64285
distance,reference,4096,,,41440476.0,ns,65780
distance,reference,4096,,,41866291.0,ns,67275
distance,reference,4096,,,42329546.0,ns,68770
distance,reference,4096,,,43741140.0,ns,70265
distance,reference,4096,,,44632015.0,ns,71760
distance,reference,4096,,,46080241.0,ns,73255
distance,reference,4096,,,47503028.0,ns,74750
distance,reference,4096,,,47364544.0,ns,76245
distance,reference,4096,,,48699419.0,ns,77740
distance,reference,4096,,,49044202.0,ns,79235
distance,reference,4096,,,50316331.0,ns,80730
distance,reference,4096,,,51643619.0,ns,82225
distance,reference,4096,,,51219391.0,ns,83720
distance,reference,4096,,,53882018.0,ns,85215
distance,reference,4096,,,55368710.0,ns,86710
distance,reference,4096,,,55689919.0,ns,88205
distance,reference,4096,,,57673871.0,ns,89700
distance,reference,4096,,,57118679.0,ns,91195
distance,reference,4096,,,57307383.0,ns,92690
distance,reference,4096,,,57679483.0,ns,94185
distance,reference,4096,,,64502294.0,ns,95680
distance,reference,4096,,,65240330.0,ns,97175
distance,reference,4096,,,67657193.0,ns,98670
distance,reference,4096,,,66008487.0,ns,100165
distance,reference,4096,,,69098261.0,ns,101660
distance,reference,4096,,,66959398.0,ns,103155
distance,reference,4096,,,67845346.0,ns,104650
distance,reference,4096,,,69062451.0,ns,106145
distance,reference,4096,,,70959722.0,ns,107640
distance,reference,4096,,,68870636.0,ns,109135
distance,reference,4096,,,68569009.0,ns,110630
distance,reference,4096,,,71305582.0,ns,112125
distance,reference,4096,,,71099473.0,ns,113620
distance,reference,4096,,,72250608.0,ns,115115
distance,reference,4096,,,72298156.0,ns,116610
distance,reference,4096,,,72661610.0,ns,118105
distance,reference,4096,,,73780753.0,ns,119600
distance,reference,4096,,,74699979.0,ns,121095
distance,reference,4096,,,76582045.0,ns,122590
distance,reference,4096,,,75523395.0,ns,124085
distance,reference,4096,,,75003756.0,ns,125580
distance,reference,4096,,,74482471.0,ns,127075
distance,reference,4096,,,80868733.0,ns,128570
distance,reference,4096,,,86098495.0,ns,130065
distance,reference,4096,,,89705782.0,ns,131560
distance,reference,4096,,,94099751.0,ns,133055
distance,reference,4096,,,87372689.0,ns,134550
distance,reference,4096,,,110319016.0,ns,136045
distance,reference,4096,,,97530557.0,ns,137540
distance,reference,4096,,,139128367.0,ns,139035
distance,reference,4096,,,113565889.0,ns,140530
distance,reference,4096,,,102893914.0,ns,142025
distance,reference,4096,,,100406695.0,ns,143520
distance,reference,4096,,,96379694.0,ns,145015
distance,reference,4096,,,97575340.0,ns,146510
distance,reference,4096,,,98397470.0,ns,148005
distance,reference,4096,,,98347247.0,ns,149500
