group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
weight,local,65536,,,1276871.0,ns,778
weight,local,65536,,,2523544.0,ns,1556
weight,local,65536,,,4235870.0,ns,2334
weight,local,65536,,,6170958.0,ns,3112
weight,local,65536,,,7314394.0,ns,3890
weight,local,65536,,,7842811.0,ns,4668
weight,local,65536,,,7368516.0,ns,5446
weight,local,65536,,,9082973.0,ns,6224
weight,local,65536,,,9441006.0,ns,7002
weight,local,65536,,,11465447.0,ns,7780
weight,local,65536,,,12672956.0,ns,8558
weight,local,65536,,,14076140.0,ns,9336
weight,local,65536,,,13606600.0,ns,10114
weight,local,65536,,,14239309.0,ns,10892
weight,local,65536,,,15671686.0,ns,11670
weight,local,65536,,,16703161.0,ns,12448
weight,local,65536,,,17794492.0,ns,13226
weight,local,65536,,,18917158.0,ns,14004
weight,local,65536,,,19477889.0,ns,14782
weight,local,65536,,,20245917.0,ns,15560
weight,local,65536,,,21600157.0,ns,16338
weight,local,65536,,,22819343.0,ns,17116
weight,local,65536,,,23560918.0,ns,17894
weight,local,65536,,,24481956.0,ns,18672
weight,local,65536,,,26339452.0,ns,19450
weight,local,65536,,,26206272.0,ns,20228
weight,local,65536,,,27791039.0,ns,21006
weight,local,65536,,,28610354.0,ns,21784
weight,local,65536,,,30204038.0,ns,22562
weight,local,65536,,,31890372.0,ns,23340
weight,local,65536,,,33091860.0,ns,24118
weight,local,65536,,,32535613.0,ns,24896
weight,local,65536,,,33595231.0,ns,25674
weight,local,65536,,,34381997.0,ns,26452
weight,local,65536,,,36378113.0,ns,27230
weight,local,65536,,,36760473.0,ns,28008
weight,local,65536,,,37457601.0,ns,28786
weight,local,65536,,,38813651.0,ns,29564
weight,local,65536,,,41173145.0,ns,30342
weight,local,65536,,,44489949.0,ns,31120
weight,local,65536,,,46706651.0,ns,31898
weight,local,65536,,,48737321.0,ns,32676
weight,local,65536,,,50618517.0,ns,33454
weight,local,65536,,,50895720.0,ns,34232
weight,local,65536,,,49499407.0,ns,35010
weight,local,65536,,,48034700.0,ns,35788
weight,local,65536,,,49069303.0,ns,36566
weight,local,65536,,,49313342.0,ns,37344
weight,local,65536,,,49685524.0,ns,38122
weight,local,65536,,,51504541.0,ns,38900
weight,local,65536,,,52180110.0,ns,39678
weight,local,65536,,,54678247.0,ns,40456
weight,local,65536,,,57789477.0,ns,41234
weight,local,65536,,,56504716.0,ns,42012
weight,local,65536,,,55742046.0,ns,42790
weight,local,65536,,,59082073.0,ns,43568
weight,local,65536,,,63438003.0,ns,44346
weight,local,65536,,,58443644.0,ns,45124
weight,local,65536,,,60104608.0,ns,45902
weight,local,65536,,,60620690.0,ns,46680
weight,local,65536,,,62837147.0,ns,47458
weight,local,65536,,,64717516.0,ns,48236
weight,local,65536,,,64615989.0,ns,49014
weight,local,65536,,,66489251.0,ns,49792
weight,local,65536,,,66926370.0,ns,50570
weight,local,65536,,,63047378.0,ns,51348
weight,local,65536,,,63031160.0,ns,52126
weight,local,65536,,,64113355.0,ns,52904
weight,local,65536,,,69276521.0,ns,53682
weight,local,65536,,,66322299.0,ns,54460
weight,local,65536,,,66846233.0,ns,55238
weight,local,65536,,,69269003.0,ns,56016
weight,local,65536,,,68938386.0,ns,56794
weight,local,65536,,,69524983.0,ns,57572
weight,local,65536,,,70609482.0,ns,58350
weight,local,65536,,,75717395.0,ns,59128
weight,local,65536,,,73786423.0,ns,59906
weight,local,65536,,,73628142.0,ns,60684
weight,local,65536,,,74814599.0,ns,61462
weight,local,65536,,,75115450.0,ns,62240
weight,local,65536,,,77111413.0,ns,63018
weight,local,65536,,,79473961.0,ns,63796
weight,local,65536,,,88332555.0,ns,64574
weight,local,65536,,,85460502.0,ns,65352
weight,local,65536,,,87100879.0,ns,66130
weight,local,65536,,,87220848.0,ns,66908
weight,local,65536,,,98291145.0,ns,67686
weight,local,65536,,,101281369.0,ns,68464
weight,local,65536,,,96213112.0,ns,69242
weight,local,65536,,,92072235.0,ns,70020
weight,local,65536,,,92052472.0,ns,70798
weight,local,65536,,,93964989.0,ns,71576
weight,local,65536,,,93936946.0,ns,72354
weight,local,65536,,,97546167.0,ns,73132
weight,local,65536,,,89822638.0,ns,73910
weight,local,65536,,,92103091.0,ns,74688
weight,local,65536,,,102061859.0,ns,75466
weight,local,65536,,,108373907.0,ns,76244
weight,local,65536,,,115510455.0,ns,77022
weight,local,65536,,,109648647.0,ns,77800
