group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
weight,local,8192,,,1109330.0,ns,5844
weight,local,8192,,,2180113.0,ns,11688
weight,local,8192,,,2984787.0,ns,17532
weight,local,8192,,,5889716.0,ns,23376
weight,local,8192,,,5978182.0,ns,29220
weight,local,8192,,,6047005.0,ns,35064
weight,local,8192,,,7832645.0,ns,40908
weight,local,8192,,,8076468.0,ns,46752
weight,local,8192,,,9151935.0,ns,52596
weight,local,8192,,,9647010.0,ns,58440
weight,local,8192,,,11018631.0,ns,64284
weight,local,8192,,,11788721.0,ns,70128
weight,local,8192,,,12622342.0,ns,75972
weight,local,8192,,,13736114.0,ns,81816
weight,local,8192,,,14735613.0,ns,87660
weight,local,8192,,,15767726.0,ns,93504
weight,local,8192,,,16770353.0,ns,99348
weight,local,8192,,,17823242.0,ns,105192
weight,local,8192,,,18648161.0,ns,111036
weight,local,8192,,,22047524.0,ns,116880
weight,local,8192,,,21958591.0,ns,122724
weight,local,8192,,,22069564.0,ns,128568
weight,local,8192,,,24619258.0,ns,134412
weight,local,8192,,,24690367.0,ns,140256
weight,local,8192,,,25700435.0,ns,146100
weight,local,8192,,,25914270.0,ns,151944
weight,local,8192,,,28105651.0,ns,157788
weight,local,8192,,,29416996.0,ns,163632
weight,local,8192,,,30146817.0,ns,169476
weight,local,8192,,,30942316.0,ns,175320
weight,local,8192,,,33007698.0,ns,181164
weight,local,8192,,,33209064.0,ns,187008
weight,local,8192,,,35088382.0,ns,192852
weight,local,8192,,,36644981.0,ns,198696
weight,local,8192,,,38223857.0,ns,204540
weight,local,8192,,,37962329.0,ns,210384
weight,local,8192,,,38078572.0,ns,216228
weight,local,8192,,,39989897.0,ns,222072
weight,local,8192,,,41023999.0,ns,227916
weight,local,8192,,,41866447.0,ns,233760
weight,local,8192,,,42301509.0,ns,239604
weight,local,8192,,,41086062.0,ns,245448
weight,local,8192,,,43543827.0,ns,251292
weight,local,8192,,,43077547.0,ns,257136
weight,local,8192,,,43496480.0,ns,262980
weight,local,8192,,,46058548.0,ns,268824
weight,local,8192,,,45295684.0,ns,274668
weight,local,8192,,,47175628.0,ns,280512
weight,local,8192,,,50176444.0,ns,286356
weight,local,8192,,,53135291.0,ns,292200
weight,local,8192,,,53330810.0,ns,298044
weight,local,8192,,,50661735.0,ns,303888
weight,local,8192,,,50923375.0,ns,309732
weight,local,8192,,,51699114.0,ns,315576
weight,local,8192,,,54876213.0,ns,321420
weight,local,8192,,,56164331.0,ns,327264
weight,local,8192,,,58291999.0,ns,333108
weight,local,8192,,,59955710.0,ns,338952
weight,local,8192,,,61019974.0,ns,344796
weight,local,8192,,,61621753.0,ns,350640
weight,local,8192,,,62021907.0,ns,356484
weight,local,8192,,,62325125.0,ns,362328
weight,local,8192,,,63458755.0,ns,368172
weight,local,8192,,,63987543.0,ns,374016
weight,local,8192,,,68438577.0,ns,379860
weight,local,8192,,,78392099.0,ns,385704
weight,local,8192,,,99872415.0,ns,391548
weight,local,8192,,,83611770.0,ns,397392
weight,local,8192,,,68920120.0,ns,403236
weight,local,8192,,,69637100.0,ns,409080
weight,local,8192,,,71900980.0,ns,414924
weight,local,8192,,,75164902.0,ns,420768
weight,local,8192,,,84455314.0,ns,426612
weight,local,8192,,,79431819.0,ns,432456
weight,local,8192,,,85614476.0,ns,438300
weight,local,8192,,,77823757.0,ns,444144
weight,local,8192,,,78915086.0,ns,449988
weight,local,8192,,,80440327.0,ns,455832
weight,local,8192,,,81113407.0,ns,461676
weight,local,8192,,,78083504.0,ns,467520
weight,local,8192,,,81793907.0,ns,473364
weight,local,8192,,,78737332.0,ns,479208
weight,local,8192,,,80292214.0,ns,485052
weight,local,8192,,,82237049.0,ns,490896
weight,local,8192,,,84197866.0,ns,496740
weight,local,8192,,,79510159.0,ns,502584
weight,local,8192,,,76900124.0,ns,508428
weight,local,8192,,,77505469.0,ns,514272
weight,local,8192,,,78651244.0,ns,520116
weight,local,8192,,,82780988.0,ns,525960
weight,local,8192,,,81487082.0,ns,531804
weight,local,8192,,,84319187.0,ns,537648
weight,local,8192,,,82658616.0,ns,543492
weight,local,8192,,,82892168.0,ns,549336
weight,local,8192,,,84267061.0,ns,555180
weight,local,8192,,,85016021.0,ns,561024
weight,local,8192,,,94057976.0,ns,566868
weight,local,8192,,,95268685.0,ns,572712
weight,local,8192,,,96233698.0,ns,578556
weight,local,8192,,,97225371.0,ns,584400
