group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
weight,reference,4096,,,1013246.0,ns,2994
weight,reference,4096,,,2017266.0,ns,5988
weight,reference,4096,,,3090665.0,ns,8982
weight,reference,4096,,,7055993.0,ns,11976
weight,reference,4096,,,6808159.0,ns,14970
weight,reference,4096,,,6662231.0,ns,17964
weight,reference,4096,,,7288642.0,ns,20958
weight,reference,4096,,,7948991.0,ns,23952
weight,reference,4096,,,9004497.0,ns,26946
weight,reference,4096,,,9950245.0,ns,29940
weight,reference,4096,,,10838947.0,ns,32934
weight,reference,4096,,,12296766.0,ns,35928
weight,reference,4096,,,12597408.0,ns,38922
weight,reference,4096,,,12755301.0,ns,41916
weight,reference,4096,,,13925927.0,ns,44910
weight,reference,4096,,,14661752.0,ns,47904
weight,reference,4096,,,15534272.0,ns,50898
weight,reference,4096,,,16336393.0,ns,53892
weight,reference,4096,,,17287241.0,ns,56886
weight,reference,4096,,,18566181.0,ns,59880
weight,reference,4096,,,19516696.0,ns,62874
weight,reference,4096,,,20155448.0,ns,65868
weight,reference,4096,,,21713080.0,ns,68862
weight,reference,4096,,,21763992.0,ns,71856
weight,reference,4096,,,22876724.0,ns,74850
weight,reference,4096,,,24109588.0,ns,77844
weight,reference,4096,,,24978146.0,ns,80838
weight,reference,4096,,,26151747.0,ns,83832
weight,reference,4096,,,26385917.0,ns,86826
weight,reference,4096,,,27382326.0,ns,89820
weight,reference,4096,,,30003671.0,ns,92814
weight,reference,4096,,,30823059.0,ns,95808
weight,reference,4096,,,30602164.0,ns,98802
weight,reference,4096,,,31051766.0,ns,101796
weight,reference,4096,,,31898353.0,ns,104790
weight,reference,4096,,,32858525.0,ns,107784
weight,reference,4096,,,33785035.0,ns,110778
weight,reference,4096,,,35209526.0,ns,113772
weight,reference,4096,,,35787575.0,ns,116766
weight,reference,4096,,,36296995.0,ns,119760
weight,reference,4096,,,37405358.0,ns,122754
weight,reference,4096,,,38322345.0,ns,125748
weight,reference,4096,,,39279509.0,ns,128742
weight,reference,4096,,,40479598.0,ns,131736
weight,reference,4096,,,42997076.0,ns,134730
weight,reference,4096,,,44258067.0,ns,137724
weight,reference,4096,,,43861130.0,ns,140718
weight,reference,4096,,,43816955.0,ns,143712
weight,reference,4096,,,45058591.0,ns,146706
weight,reference,4096,,,45900875.0,ns,149700
weight,reference,4096,,,46377024.0,ns,152694
weight,reference,4096,,,47708013.0,ns,155688
weight,reference,4096,,,48510798.0,ns,158682
weight,reference,4096,,,49379371.0,ns,161676
weight,reference,4096,,,52436273.0,ns,164670
weight,reference,4096,,,56196791.0,ns,167664
weight,reference,4096,,,52610634.0,ns,170658
weight,reference,4096,,,53163229.0,ns,173652
weight,reference,4096,,,56421576.0,ns,176646
weight,reference,4096,,,55114884.0,ns,179640
weight,reference,4096,,,55851816.0,ns,182634
weight,reference,4096,,,58856277.0,ns,185628
weight,reference,4096,,,58869084.0,ns,188622
weight,reference,4096,,,58529449.0,ns,191616
weight,reference,4096,,,64159978.0,ns,194610
weight,reference,4096,,,60966033.0,ns,197604
weight,reference,4096,,,63983490.0,ns,200598
weight,reference,4096,,,63105803.0,ns,203592
weight,reference,4096,,,67094680.0,ns,206586
weight,reference,4096,,,73119622.0,ns,209580
weight,reference,4096,,,72105254.0,ns,212574
weight,reference,4096,,,74631651.0,ns,215568
weight,reference,4096,,,76049067.0,ns,218562
weight,reference,4096,,,79273524.0,ns,221556
weight,reference,4096,,,78951369.0,ns,224550
weight,reference,4096,,,77714565.0,ns,227544
weight,reference,4096,,,72396277.0,ns,230538
weight,reference,4096,,,78537429.0,ns,233532
weight,reference,4096,,,82805859.0,ns,236526
weight,reference,4096,,,80618382.0,ns,239520
weight,reference,4096,,,80815151.0,ns,242514
weight,reference,4096,,,82749096.0,ns,245508
weight,reference,4096,,,83373596.0,ns,248502
weight,reference,4096,,,83905480.0,ns,251496
weight,reference,4096,,,88638484.0,ns,254490
weight,reference,4096,,,86035564.0,ns,257484
weight,reference,4096,,,85100229.0,ns,260478
weight,reference,4096,,,85913176.0,ns,263472
weight,reference,4096,,,83808374.0,ns,266466
weight,reference,4096,,,82306810.0,ns,269460
weight,reference,4096,,,91516057.0,ns,272454
weight,reference,4096,,,85392257.0,ns,275448
weight,reference,4096,,,85387630.0,ns,278442
weight,reference,4096,,,85981388.0,ns,281436
weight,reference,4096,,,95902363.0,ns,284430
weight,reference,4096,,,101597995.0,ns,287424
weight,reference,4096,,,104965475.0,ns,290418
weight,reference,4096,,,100928580.0,ns,293412
weight,reference,4096,,,97624305.0,ns,296406
weight,reference,4096,,,98795751.0,ns,299400
