group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
weight,reference,524288,,,1292075.0,ns,29
weight,reference,524288,,,2370404.0,ns,58
weight,reference,524288,,,3762832.0,ns,87
weight,reference,524288,,,8440377.0,ns,116
weight,reference,524288,,,5561350.0,ns,145
weight,reference,524288,,,6837178.0,ns,174
weight,reference,524288,,,7852675.0,ns,203
weight,reference,524288,,,8670191.0,ns,232
weight,reference,524288,,,9590417.0,ns,261
weight,reference,524288,,,10393915.0,ns,290
weight,reference,524288,,,11410415.0,ns,319
weight,reference,524288,,,12455045.0,ns,348
weight,reference,524288,,,13953686.0,ns,377
weight,reference,524288,,,14850979.0,ns,406
weight,reference,524288,,,16385809.0,ns,435
weight,reference,524288,,,16792795.0,ns,464
weight,reference,524288,,,17525796.0,ns,493
weight,reference,524288,,,19536015.0,ns,522
weight,reference,524288,,,19931267.0,ns,551
weight,reference,524288,,,21243644.0,ns,580
weight,reference,524288,,,23205758.0,ns,609
weight,reference,524288,,,23283713.0,ns,638
weight,reference,524288,,,24047875.0,ns,667
weight,reference,524288,,,25270743.0,ns,696
weight,reference,524288,,,26000953.0,ns,725
weight,reference,524288,,,27298876.0,ns,754
weight,reference,524288,,,28102116.0,ns,783
weight,reference,524288,,,29044402.0,ns,812
weight,reference,524288,,,29927437.0,ns,841
weight,reference,524288,,,31484455.0,ns,870
weight,reference,524288,,,32686133.0,ns,899
weight,reference,524288,,,32992877.0,ns,928
weight,reference,524288,,,34254814.0,ns,957
weight,reference,524288,,,35403771.0,ns,986
weight,reference,524288,,,36277024.0,ns,1015
weight,reference,524288,,,38086818.0,ns,1044
weight,reference,524288,,,39588312.0,ns,1073
weight,reference,524288,,,41177685.0,ns,1102
weight,reference,524288,,,40991646.0,ns,1131
weight,reference,524288,,,42744687.0,ns,1160
weight,reference,524288,,,42834656.0,ns,1189
weight,reference,524288,,,44615577.0,ns,1218
weight,reference,524288,,,44920934.0,ns,1247
weight,reference,524288,,,45862870.0,ns,1276
weight,reference,524288,,,48126926.0,ns,1305
weight,reference,524288,,,48116563.0,ns,1334
weight,reference,524288,,,49136915.0,ns,1363
weight,reference,524288,,,51754466.0,ns,1392
weight,reference,524288,,,52322132.0,ns,1421
weight,reference,524288,,,52512049.0,ns,1450
weight,reference,524288,,,54561303.0,ns,1479
weight,reference,524288,,,53935907.0,ns,1508
weight,reference,524288,,,56010159.0,ns,1537
weight,reference,524288,,,55756866.0,ns,1566
weight,reference,524288,,,57583586.0,ns,1595
weight,reference,524288,,,58133071.0,ns,1624
weight,reference,524288,,,60610917.0,ns,1653
weight,reference,524288,,,60810622.0,ns,1682
weight,reference,524288,,,61537521.0,ns,1711
weight,reference,524288,,,62651350.0,ns,1740
weight,reference,524288,,,63878881.0,ns,1769
weight,reference,524288,,,65920749.0,ns,1798
weight,reference,524288,,,66291998.0,ns,1827
weight,reference,524288,,,67629363.0,ns,1856
weight,reference,524288,,,70537774.0,ns,1885
weight,reference,524288,,,70378547.0,ns,1914
weight,reference,524288,,,71437835.0,ns,1943
weight,reference,524288,,,75052145.0,ns,1972
weight,reference,524288,,,71886453.0,ns,2001
weight,reference,524288,,,74276801.0,ns,2030
weight,reference,524288,,,75010232.0,ns,2059
weight,reference,524288,,,77952859.0,ns,2088
weight,reference,524288,,,77188714.0,ns,2117
weight,reference,524288,,,78786389.0,ns,2146
weight,reference,524288,,,78052262.0,ns,2175
weight,reference,524288,,,81724924.0,ns,2204
weight,reference,524288,,,81706616.0,ns,2233
weight,reference,524288,,,87167650.0,ns,2262
weight,reference,524288,,,84956199.0,ns,2291
weight,reference,524288,,,85762847.0,ns,2320
weight,reference,524288,,,85665021.0,ns,2349
weight,reference,524288,,,86548175.0,ns,2378
weight,reference,524288,,,87356434.0,ns,2407
weight,reference,524288,,,90174190.0,ns,2436
weight,reference,524288,,,89664937.0,ns,2465
weight,reference,524288,,,91699677.0,ns,2494
weight,reference,524288,,,92022703.0,ns,2523
weight,reference,524288,,,93481288.0,ns,2552
weight,reference,524288,,,96608949.0,ns,2581
weight,reference,524288,,,94843935.0,ns,2610
weight,reference,524288,,,94983935.0,ns,2639
weight,reference,524288,,,96133130.0,ns,2668
weight,reference,524288,,,97546332.0,ns,2697
weight,reference,524288,,,98022826.0,ns,2726
weight,reference,524288,,,102926170.0,ns,2755
weight,reference,524288,,,100683700.0,ns,2784
weight,reference,524288,,,102170075.0,ns,2813
weight,reference,524288,,,104145902.0,ns,2842
weight,reference,524288,,,104967787.0,ns,2871
weight,reference,524288,,,105964586.0,ns,2900
